event_id,user_id,journey_id,session_id,event_timestamp_utc,event_date,touchpoint_number,total_touchpoints_in_journey,channel,channel_group,campaign,funnel_stage,event_type,utm_source,utm_medium,utm_campaign,landing_page,device,region,product_plan,ad_spend,is_conversion,conversion_id,conversion_timestamp_utc,conversion_value,customer_status
E000001,U00001,J00001,S00001_01,2026-02-05 11:14:00,2026-02-05,1,4,TikTok Ads,paid_social,creator_spark,Awareness,video_view,tiktok,cpc,creator_spark,/free-trial,Mobile,South,Professional,0.20,0,,,0.00,
E000002,U00001,J00001,S00001_02,2026-02-07 02:26:00,2026-02-07,2,4,Organic Search,organic,how_to_guide,Consideration,seo_landing,google,organic,how_to_guide,/demo,Mobile,South,Professional,0.00,0,,,0.00,
E000003,U00001,J00001,S00001_03,2026-02-08 00:17:00,2026-02-08,3,4,Direct,direct,direct_visit,Decision,direct_visit,direct,none,direct_visit,/blog/marketing-roi,Mobile,South,Professional,0.00,0,,,0.00,
E000004,U00001,J00001,S00001_04,2026-02-08 18:05:00,2026-02-08,4,4,Meta Ads,paid_social,retargeting,Purchase,conversion,meta,cpc,retargeting,/blog/marketing-roi,Mobile,South,Professional,0.62,1,C00001,2026-02-08 18:05:00,267.15,returning
E000005,U00002,J00002,S00002_01,2026-03-10 09:59:00,2026-03-10,1,5,LinkedIn Ads,paid_social,decision_makers,Consideration,ad_click,linkedin,cpc,decision_makers,/pricing,Desktop,West,Starter,3.75,0,,,0.00,
E000006,U00002,J00002,S00002_02,2026-03-11 08:04:00,2026-03-11,2,5,Direct,direct,direct_visit,Decision,direct_visit,direct,none,direct_visit,/blog/marketing-roi,Desktop,West,Starter,0.00,0,,,0.00,
E000007,U00002,J00002,S00002_03,2026-03-12 11:14:00,2026-03-12,3,5,TikTok Ads,paid_social,creator_spark,Awareness,ad_click,tiktok,cpc,creator_spark,/case-studies,Desktop,West,Starter,1.09,0,,,0.00,
E000008,U00002,J00002,S00002_04,2026-03-14 05:54:00,2026-03-14,4,5,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/features,Desktop,West,Starter,0.74,0,,,0.00,
E000009,U00002,J00002,S00002_05,2026-03-16 02:38:00,2026-03-16,5,5,Email,owned,abandoned_cart,Decision,email_click,mailchimp,email,abandoned_cart,/pricing,Desktop,West,Starter,0.07,0,,,0.00,
E000010,U00003,J00003,S00003_01,2026-02-04 09:13:00,2026-02-04,1,1,Email,owned,trial_nurture,Decision,email_click,mailchimp,email,trial_nurture,/demo,Mobile,Central,Starter,0.03,0,,,0.00,
E000011,U00004,J00004,S00004_01,2026-03-16 14:57:00,2026-03-16,1,4,Google Ads,paid_search,brand_search,Decision,ad_click,google,cpc,brand_search,/demo,Desktop,Central,Starter,1.13,0,,,0.00,
E000012,U00004,J00004,S00004_02,2026-03-17 22:35:00,2026-03-17,2,4,Google Ads,paid_search,competitor_search,Decision,search_click,google,cpc,competitor_search,/free-trial,Desktop,Central,Starter,2.32,0,,,0.00,
E000013,U00004,J00004,S00004_03,2026-03-19 22:21:00,2026-03-19,3,4,Google Ads,paid_search,high_intent_keywords,Decision,search_click,google,cpc,high_intent_keywords,/blog/marketing-roi,Desktop,Central,Starter,3.07,0,,,0.00,
E000014,U00004,J00004,S00004_04,2026-03-21 05:31:00,2026-03-21,4,4,Email,owned,abandoned_cart,Purchase,conversion,mailchimp,email,abandoned_cart,/demo,Desktop,Central,Starter,0.08,1,C00002,2026-03-21 05:31:00,109.37,returning
E000015,U00005,J00005,S00005_01,2026-04-18 18:32:00,2026-04-18,1,2,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/features,Desktop,Central,Starter,1.50,0,,,0.00,
E000016,U00005,J00005,S00005_02,2026-04-19 22:28:00,2026-04-19,2,2,Referral,referral,software_review,Consideration,referral_visit,partner,referral,software_review,/pricing,Desktop,Central,Starter,0.00,0,,,0.00,
E000017,U00006,J00006,S00006_01,2026-04-04 15:52:00,2026-04-04,1,4,Referral,referral,affiliate_blog,Consideration,referral_visit,partner,referral,affiliate_blog,/free-trial,Mobile,North,Professional,0.00,0,,,0.00,
E000018,U00006,J00006,S00006_02,2026-04-05 09:51:00,2026-04-05,2,4,Email,owned,abandoned_cart,Decision,email_open,mailchimp,email,abandoned_cart,/features,Tablet,North,Professional,0.06,0,,,0.00,
E000019,U00006,J00006,S00006_03,2026-04-06 13:19:00,2026-04-06,3,4,Direct,direct,saved_link,Decision,direct_visit,direct,none,saved_link,/demo,Tablet,North,Professional,0.00,0,,,0.00,
E000020,U00006,J00006,S00006_04,2026-04-07 14:20:00,2026-04-07,4,4,Email,owned,newsletter,Purchase,conversion,mailchimp,email,newsletter,/case-studies,Tablet,North,Professional,0.02,1,C00003,2026-04-07 14:20:00,352.78,new
E000021,U00007,J00007,S00007_01,2026-04-21 13:04:00,2026-04-21,1,3,Meta Ads,paid_social,retargeting,Awareness,video_click,meta,cpc,retargeting,/features,Desktop,Central,Professional,0.88,0,,,0.00,
E000022,U00007,J00007,S00007_02,2026-04-22 05:10:00,2026-04-22,2,3,Google Ads,paid_search,competitor_search,Decision,search_click,google,cpc,competitor_search,/features,Desktop,Central,Professional,1.98,0,,,0.00,
E000023,U00007,J00007,S00007_03,2026-04-24 04:51:00,2026-04-24,3,3,Referral,referral,affiliate_blog,Consideration,referral_visit,partner,referral,affiliate_blog,/features,Desktop,Central,Professional,0.00,0,,,0.00,
E000024,U00008,J00008,S00008_01,2026-01-25 11:34:00,2026-01-25,1,5,Google Ads,paid_search,high_intent_keywords,Decision,ad_click,google,cpc,high_intent_keywords,/free-trial,Desktop,West,Starter,0.81,0,,,0.00,
E000025,U00008,J00008,S00008_02,2026-01-25 21:33:00,2026-01-25,2,5,Organic Search,organic,seo_blog,Consideration,blog_visit,google,organic,seo_blog,/features,Desktop,West,Starter,0.00,0,,,0.00,
E000026,U00008,J00008,S00008_03,2026-01-26 15:28:00,2026-01-26,3,5,LinkedIn Ads,paid_social,b2b_leads,Consideration,ad_click,linkedin,cpc,b2b_leads,/features,Desktop,West,Starter,2.60,0,,,0.00,
E000027,U00008,J00008,S00008_04,2026-01-28 00:46:00,2026-01-28,4,5,LinkedIn Ads,paid_social,saas_trial,Consideration,lead_form_view,linkedin,cpc,saas_trial,/blog/marketing-roi,Desktop,West,Starter,1.80,0,,,0.00,
E000028,U00008,J00008,S00008_05,2026-01-28 08:23:00,2026-01-28,5,5,Organic Search,organic,seo_blog,Purchase,conversion,google,organic,seo_blog,/pricing,Desktop,West,Starter,0.00,1,C00004,2026-01-28 08:23:00,127.44,new
E000029,U00009,J00009,S00009_01,2026-03-09 10:03:00,2026-03-09,1,4,LinkedIn Ads,paid_social,saas_trial,Consideration,ad_click,linkedin,cpc,saas_trial,/free-trial,Desktop,Central,Starter,2.68,0,,,0.00,
E000030,U00009,J00009,S00009_02,2026-03-11 04:05:00,2026-03-11,2,4,Email,owned,trial_nurture,Decision,email_click,mailchimp,email,trial_nurture,/demo,Desktop,Central,Starter,0.08,0,,,0.00,
E000031,U00009,J00009,S00009_03,2026-03-12 04:20:00,2026-03-12,3,4,Meta Ads,paid_social,retargeting,Awareness,video_click,meta,cpc,retargeting,/pricing,Desktop,Central,Starter,1.25,0,,,0.00,
E000032,U00009,J00009,S00009_04,2026-03-13 23:56:00,2026-03-13,4,4,Referral,referral,affiliate_blog,Consideration,referral_visit,partner,referral,affiliate_blog,/free-trial,Desktop,Central,Starter,0.00,0,,,0.00,
